method,fold,acc
linear_unreg.1,1,88.715953307393
linear_unreg.2,1,88.58625162127107
linear_unreg.4,1,85.73281452658884
linear_unreg.1,2,90.28290282902827
linear_unreg.2,2,90.6519065190652
linear_unreg.4,2,90.6519065190652
mmit.1,1,88.19714656290532
mmit.2,1,88.32684824902724
mmit.4,1,84.43579766536965
mmit.1,2,84.62484624846248
mmit.2,2,86.5928659286593
mmit.4,2,85.85485854858548
mmit.100,1,85.473411154345
mmit.100,2,88.56088560885608
linear_L1reg.100,1,87.4189364461738
linear_L1reg.100,2,90.7749077490775
mlp.4,1,87.67833981841764
mlp.4,2,89.9138991389914
mlp.1,1,88.19714656290532
mlp.2,1,88.58625162127107
mlp.1,2,89.79089790897909
mlp.2,2,89.9138991389914
AFT_XGboost.100,1,86.38132295719845
AFT_XGboost.100,2,84.00984009840099
