method,fold,acc
linear_unreg.1,1,75.4601226993865
linear_unreg.2,1,76.07361963190185
linear_unreg.4,1,76.07361963190185
linear_unreg.1,2,71.42857142857143
linear_unreg.2,2,77.14285714285715
linear_unreg.4,2,74.28571428571429
mmit.1,1,75.4601226993865
mmit.2,1,70.5521472392638
mmit.4,1,66.87116564417178
mmit.1,2,68.57142857142857
mmit.2,2,80.57142857142857
mmit.4,2,66.85714285714286
mmit.100,1,79.14110429447852
mmit.100,2,72.0
linear_L1reg.100,1,77.30061349693251
linear_L1reg.100,2,77.71428571428571
mlp.4,1,76.07361963190185
mlp.4,2,74.85714285714286
mlp.1,1,74.23312883435584
mlp.2,1,77.30061349693251
mlp.1,2,69.71428571428572
mlp.2,2,75.42857142857143
AFT_XGBoost.100,1,75.4601226993865
AFT_XGBoost.100,2,73.14285714285714
