fold,n_layer,layer_size,n_features,f_engineer,normalize,val_acc
1,3,64,4,1,1,72.28070175
1,3,64,4,0,1,74.56140351
1,3,128,1,1,1,79.12280702
1,3,128,1,0,1,78.77192982
1,3,128,2,1,1,72.10526316
1,3,128,2,0,1,70.87719298
1,3,128,4,1,1,76.49122807
1,3,128,4,0,1,72.80701754
2,1,2,1,1,1,94.9122807
2,1,2,1,0,1,94.9122807
2,1,2,2,1,1,94.56140351
2,1,2,2,0,1,95.0877193
2,1,2,4,1,1,93.33333333
2,1,2,4,0,1,92.80701754
2,1,4,1,1,1,94.9122807
2,1,4,1,0,1,94.73684211
2,1,4,2,1,1,94.21052632
2,1,4,2,0,1,93.33333333
2,1,4,4,1,1,93.68421053
2,1,4,4,0,1,92.10526316
2,1,8,1,1,1,95.0877193
2,1,8,1,0,1,94.56140351
2,1,8,2,1,1,95.85964912
2,1,8,2,0,1,95.26315789
2,1,8,4,1,1,89.29824561
2,1,8,4,0,1,91.75438596
2,1,16,1,1,1,94.21052632
2,1,16,1,0,1,95.0877193
2,1,16,2,1,1,93.50877193
2,1,16,2,0,1,91.75438596
2,1,16,4,1,1,96.36842105
2,1,16,4,0,1,91.92982456
2,1,32,1,1,1,94.9122807
2,1,32,1,0,1,94.73684211
2,1,32,2,1,1,91.75438596
2,1,32,2,0,1,91.75438596
2,1,32,4,1,1,88.94736842
2,1,32,4,0,1,90
2,1,64,1,1,1,94.56140351
2,1,64,1,0,1,94.38596491
2,1,64,2,1,1,91.57894737
2,1,64,2,0,1,89.8245614
2,1,64,4,1,1,89.47368421
2,1,64,4,0,1,89.64912281
2,1,128,1,1,1,94.38596491
2,1,128,1,0,1,94.73684211
2,1,128,2,1,1,93.15789474
2,1,128,2,0,1,90
2,1,128,4,1,1,86.66666667
2,1,128,4,0,1,89.29824561
2,2,2,1,1,1,94.38596491
2,2,2,1,0,1,94.73684211
2,2,2,2,1,1,94.38596491
2,2,2,2,0,1,94.38596491
2,2,2,4,1,1,95.0877193
2,2,2,4,0,1,92.45614035
2,2,4,1,1,1,94.38596491
2,2,4,1,0,1,95.43859649
2,2,4,2,1,1,91.92982456
2,2,4,2,0,1,93.68421053
2,2,4,4,1,1,94.73684211
2,2,4,4,0,1,92.10526316
2,2,8,1,1,1,94.03508772
2,2,8,1,0,1,94.9122807
2,2,8,2,1,1,90.1754386
2,2,8,2,0,1,92.63157895
2,2,8,4,1,1,89.64912281
2,2,8,4,0,1,92.10526316
2,2,16,1,1,1,93.50877193
2,2,16,1,0,1,94.03508772
2,2,16,2,1,1,92.63157895
2,2,16,2,0,1,91.22807018
2,2,16,4,1,1,88.94736842
2,2,16,4,0,1,89.47368421
2,2,32,1,1,1,95.0877193
2,2,32,1,0,1,93.50877193
2,2,32,2,1,1,88.94736842
2,2,32,2,0,1,92.45614035
2,2,32,4,1,1,83.50877193
2,2,32,4,0,1,88.42105263
2,2,64,1,1,1,94.38596491
2,2,64,1,0,1,93.15789474
2,2,64,2,1,1,85.0877193
2,2,64,2,0,1,89.29824561
2,2,64,4,1,1,79.8245614
2,2,64,4,0,1,84.56140351
2,2,128,1,1,1,91.75438596
2,2,128,1,0,1,92.80701754
2,2,128,2,1,1,82.45614035
2,2,128,2,0,1,86.84210526
2,2,128,4,1,1,79.64912281
2,2,128,4,0,1,82.28070175
2,3,2,1,1,1,94.73684211
2,3,2,1,0,1,94.9122807
2,3,2,2,1,1,94.56140351
2,3,2,2,0,1,94.38596491
2,3,2,4,1,1,93.33333333
2,3,2,4,0,1,93.85964912
2,3,4,1,1,1,95.43859649
2,3,4,1,0,1,94.73684211
2,3,4,2,1,1,92.98245614
2,3,4,2,0,1,93.85964912
2,3,4,4,1,1,92.80701754
2,3,4,4,0,1,92.98245614
2,3,8,1,1,1,95.43859649
2,3,8,1,0,1,94.21052632
2,3,8,2,1,1,94.73684211
2,3,8,2,0,1,91.92982456
2,3,8,4,1,1,91.22807018
2,3,8,4,0,1,91.40350877
2,3,16,1,1,1,92.63157895
2,3,16,1,0,1,93.68421053
2,3,16,2,1,1,86.31578947
2,3,16,2,0,1,87.36842105
2,3,16,4,1,1,84.9122807
2,3,16,4,0,1,86.31578947
2,3,32,1,1,1,92.80701754
2,3,32,1,0,1,93.33333333
2,3,32,2,1,1,81.40350877
2,3,32,2,0,1,86.84210526
2,3,32,4,1,1,80.1754386
2,3,32,4,0,1,81.22807018
2,3,64,1,1,1,86.84210526
2,3,64,1,0,1,89.47368421
2,3,64,2,1,1,72.98245614
2,3,64,2,0,1,77.89473684
2,3,64,4,1,1,78.07017544
2,3,64,4,0,1,77.36842105
2,3,128,1,1,1,78.42105263
2,3,128,1,0,1,85.61403509
2,3,128,2,1,1,72.10526316
2,3,128,2,0,1,73.50877193
2,3,128,4,1,1,74.9122807
2,3,128,4,0,1,71.92982456
3,1,2,1,1,1,92.28070175
3,1,2,1,0,1,93.50877193
3,1,2,2,1,1,92.28070175
3,1,2,2,0,1,93.68421053
3,1,2,4,1,1,92.45614035
3,1,2,4,0,1,94.38596491
3,1,4,1,1,1,92.63157895
3,1,4,1,0,1,93.50877193
3,1,4,2,1,1,91.22807018
3,1,4,2,0,1,93.68421053
3,1,4,4,1,1,88.42105263
3,1,4,4,0,1,89.8245614
3,1,8,1,1,1,92.98245614
3,1,8,1,0,1,93.50877193
3,1,8,2,1,1,90.35087719
3,1,8,2,0,1,90.35087719
3,1,8,4,1,1,89.47368421
3,1,8,4,0,1,91.75438596
3,1,16,1,1,1,92.45614035
3,1,16,1,0,1,92.63157895
3,1,16,2,1,1,92.10526316
3,1,16,2,0,1,90
3,1,16,4,1,1,88.59649123
3,1,16,4,0,1,89.64912281
3,1,32,1,1,1,92.63157895
3,1,32,1,0,1,93.50877193
3,1,32,2,1,1,89.29824561
3,1,32,2,0,1,89.64912281
3,1,32,4,1,1,87.54385965
3,1,32,4,0,1,89.12280702
3,1,64,1,1,1,92.28070175
3,1,64,1,0,1,92.98245614
3,1,64,2,1,1,89.64912281
3,1,64,2,0,1,88.94736842
3,1,64,4,1,1,85.43859649
3,1,64,4,0,1,88.42105263
3,1,128,1,1,1,92.10526316
3,1,128,1,0,1,93.33333333
3,1,128,2,1,1,89.47368421
3,1,128,2,0,1,92.80701754
3,1,128,4,1,1,88.59649123
3,1,128,4,0,1,88.07017544
3,2,2,1,1,1,92.10526316
3,2,2,1,0,1,93.50877193
3,2,2,2,1,1,92.28070175
3,2,2,2,0,1,92.28070175
3,2,2,4,1,1,94.73684211
3,2,2,4,0,1,94.03508772
3,2,4,1,1,1,91.92982456
3,2,4,1,0,1,94.21052632
3,2,4,2,1,1,93.68421053
3,2,4,2,0,1,92.80701754
3,2,4,4,1,1,91.22807018
3,2,4,4,0,1,92.28070175
3,2,8,1,1,1,93.68421053
3,2,8,1,0,1,93.15789474
3,2,8,2,1,1,91.05263158
3,2,8,2,0,1,90
