method,fold,acc
ensemble.17,1,83.60655737704919
ensemble.18,1,83.46994535519126
ensemble.19,1,83.60655737704919
ensemble.20,1,83.60655737704919
ensemble.11,2,81.36300417246176
ensemble.12,2,80.94575799721837
ensemble.13,2,80.94575799721837
ensemble.14,2,80.80667593880389
ensemble.15,2,80.80667593880389
ensemble.16,2,80.94575799721837
ensemble.17,2,80.52851182197497
ensemble.18,2,80.52851182197497
ensemble.19,2,80.66759388038943
ensemble.20,2,80.66759388038943
ensemble.11,3,80.56737588652483
ensemble.12,3,80.42553191489363
ensemble.13,3,80.42553191489363
ensemble.14,3,80.42553191489363
ensemble.15,3,80.1418439716312
ensemble.16,3,80.42553191489363
ensemble.17,3,80.70921985815603
ensemble.18,3,80.70921985815603
ensemble.19,3,80.56737588652483
ensemble.20,3,80.56737588652483
ensemble.11,4,82.6629680998613
ensemble.12,4,82.80166435506241
ensemble.13,4,82.94036061026353
ensemble.14,4,82.52427184466019
ensemble.15,4,82.38557558945908
ensemble.16,4,82.6629680998613
ensemble.17,4,82.6629680998613
ensemble.18,4,82.6629680998613
ensemble.19,4,82.6629680998613
ensemble.20,4,82.6629680998613
ensemble.11,5,72.93640054127198
ensemble.12,5,72.80108254397834
ensemble.13,5,72.93640054127198
ensemble.14,5,72.66576454668471
ensemble.15,5,72.53044654939107
ensemble.16,5,72.66576454668471
ensemble.17,5,72.53044654939107
ensemble.18,5,72.39512855209743
ensemble.19,5,72.39512855209743
ensemble.20,5,72.39512855209743
ensemble.11,6,83.04172274562585
ensemble.12,6,82.907133243607
ensemble.13,6,82.907133243607
ensemble.14,6,83.04172274562585
ensemble.15,6,83.04172274562585
ensemble.16,6,83.04172274562585
ensemble.17,6,82.907133243607
ensemble.18,6,83.17631224764467
ensemble.19,6,83.04172274562585
ensemble.20,6,83.04172274562585
