n_features,fold,feature engineer,n_layer,layer_size,val_acc
117,3,no,2,2,82.94599018003274
4,1,yes,3,8,81.66831519947247
117,3,no,2,4,82.47135842880525
117,3,no,2,8,82.38952536824877
4,1,yes,3,16,82.26178700956149
117,3,no,2,16,83.68248772504091
4,1,yes,3,32,84.20705572040885
117,3,no,2,32,82.5531914893617
4,1,yes,3,64,84.3554236729311
117,3,no,2,64,83.84615384615385
117,3,no,2,128,82.8150572831424
4,1,yes,3,128,84.15759973623476
117,3,no,2,256,83.53518821603927
117,3,no,3,2,81.44026186579379
4,1,yes,3,256,84.56973293768546
117,3,no,3,4,81.6366612111293
1,2,yes,1,2,57.806873977086745
1,2,yes,1,4,74.74631751227496
117,3,no,3,8,83.82978723404256
1,2,yes,1,8,74.6481178396072
1,2,yes,1,16,74.74631751227496
117,3,no,3,16,84.07528641571194
1,2,yes,1,32,74.82815057283142
117,3,no,3,32,82.7986906710311
1,2,yes,1,64,74.82815057283142
1,2,yes,1,128,74.82815057283142
1,2,yes,1,256,74.82815057283142
117,3,no,3,64,81.42389525368249
1,2,yes,2,2,74.69721767594109
1,2,yes,2,4,74.69721767594109
1,2,yes,2,8,74.69721767594109
117,3,no,3,128,80.0
1,2,yes,2,16,74.72995090016367
1,2,yes,2,32,74.82815057283142
1,2,yes,2,64,74.82815057283142
1,2,yes,2,128,74.82815057283142
1,2,yes,2,256,74.82815057283142
117,3,no,3,256,82.04582651391162
1,2,yes,3,2,74.82815057283142
117,4,no,1,2,82.17675941080196
1,2,yes,3,4,74.69721767594109
117,4,no,1,4,82.88052373158756
117,4,no,1,8,82.35679214402619
1,2,yes,3,8,74.82815057283142
117,4,no,1,16,84.77905073649754
1,2,yes,3,16,74.82815057283142
117,4,no,1,32,84.25531914893617
1,2,yes,3,32,74.82815057283142
117,4,no,1,64,84.28805237315876
1,2,yes,3,64,74.82815057283142
117,4,no,1,128,84.23895253682487
1,2,yes,3,128,74.82815057283142
1,2,yes,3,256,74.82815057283142
117,4,no,1,256,84.41898527004909
2,2,yes,1,2,66.71031096563011
117,4,no,2,2,81.11292962356792
2,2,yes,1,4,76.36661211129297
117,4,no,2,4,82.19312602291325
2,2,yes,1,8,78.01963993453354
2,2,yes,1,16,78.77250409165303
117,4,no,2,8,83.28968903436989
2,2,yes,1,32,78.52700490998363
117,4,no,2,16,84.48445171849427
2,2,yes,1,64,78.51063829787233
117,4,no,2,32,83.38788870703763
2,2,yes,1,128,77.97054009819966
2,2,yes,1,256,78.34697217675941
117,4,no,2,64,83.68248772504091
2,2,yes,2,2,60.720130932896886
117,4,no,2,128,84.25531914893617
2,2,yes,2,4,78.41243862520459
2,2,yes,2,8,78.57610474631751
2,2,yes,2,16,78.65793780687397
117,4,no,2,256,83.5024549918167
2,2,yes,2,32,78.19967266775777
117,4,no,3,2,74.9099836333879
117,4,no,3,4,81.80032733224223
2,2,yes,2,64,78.44517184942717
117,4,no,3,8,83.64975450081833
2,2,yes,2,128,78.91980360065467
117,4,no,3,16,80.9656301145663
117,4,no,3,32,82.94599018003274
2,2,yes,2,256,79.59083469721767
2,2,yes,3,2,75.40098199672668
117,4,no,3,64,82.65139116202947
2,2,yes,3,4,76.67757774140753
2,2,yes,3,8,78.67430441898527
117,4,no,3,128,82.17675941080196
2,2,yes,3,16,78.18330605564648
2,2,yes,3,32,78.10147299509002
117,4,no,3,256,82.02945990180032
2,2,yes,3,64,78.33060556464811
117,5,no,1,2,83.14238952536824
117,5,no,1,4,82.17675941080196
117,5,no,1,8,83.40425531914893
2,2,yes,3,128,79.00163666121112
117,5,no,1,16,82.92962356792144
117,5,no,1,32,84.35351882160393
117,5,no,1,64,83.76432078559738
117,5,no,1,128,84.58265139116203
2,2,yes,3,256,77.9214402618658
117,5,no,1,256,83.45335515548281
4,2,yes,1,2,76.9885433715221
4,2,yes,1,4,77.25040916530278
117,5,no,2,2,69.34533551554829
4,2,yes,1,8,77.9050736497545
117,5,no,2,4,82.8150572831424
4,2,yes,1,16,82.0785597381342
117,5,no,2,8,81.30932896890344
4,2,yes,1,32,82.38952536824877
117,5,no,2,16,82.97872340425532
4,2,yes,1,64,82.68412438625205
4,2,yes,1,128,82.96235679214402
117,5,no,2,32,82.83142389525369
4,2,yes,1,256,82.97872340425532
117,5,no,2,64,84.27168576104746
4,2,yes,2,2,74.82815057283142
4,2,yes,2,4,77.75777414075287
117,5,no,2,128,84.23895253682487
4,2,yes,2,8,79.73813420621931
4,2,yes,2,16,82.52045826513911
4,2,yes,2,32,82.1112929623568
117,5,no,2,256,83.28968903436989
4,2,yes,2,64,84.189852700491
117,5,no,3,2,82.5531914893617
117,5,no,3,4,83.09328968903436
4,2,yes,2,128,84.74631751227496
117,5,no,3,8,82.48772504091653
117,5,no,3,16,83.32242225859248
4,2,yes,2,256,83.87888707037644
4,2,yes,3,2,65.61374795417349
117,5,no,3,32,83.74795417348608
4,2,yes,3,4,63.04418985270049
117,5,no,3,64,82.70049099836334
4,2,yes,3,8,80.60556464811785
4,2,yes,3,16,82.42225859247135
117,5,no,3,128,79.0998363338789
4,2,yes,3,32,83.0278232405892
4,2,yes,3,64,82.88052373158756
117,5,no,3,256,83.19148936170212
4,2,yes,3,128,83.35515548281506
117,6,no,1,2,69.86906710310966
117,6,no,1,4,82.7986906710311
117,6,no,1,8,82.3240589198036
117,6,no,1,16,83.69885433715221
117,6,no,1,32,82.7823240589198
4,2,yes,3,256,84.46808510638299
