fold,n_layer,layer_size,n_features,f_engineer,normalize,val_acc
1,3,64,2,0,1,84.15300546
1,3,64,4,1,1,95.76502732
1,3,64,4,0,1,96.72131148
1,3,128,1,1,1,84.83606557
1,3,128,1,0,1,84.42622951
1,3,128,2,1,1,83.7431694
1,3,128,2,0,1,82.65027322
1,3,128,4,1,1,96.8579235
1,3,128,4,0,1,91.39344262
2,1,2,1,1,1,93.74130737
2,1,2,1,0,1,94.01947149
2,1,2,2,1,1,94.15855355
2,1,2,2,0,1,94.29763561
2,1,2,4,1,1,95.96662031
2,1,2,4,0,1,94.71488178
2,1,4,1,1,1,94.01947149
2,1,4,1,0,1,93.88038943
2,1,4,2,1,1,94.01947149
2,1,4,2,0,1,94.43671766
2,1,4,4,1,1,95.68845619
2,1,4,4,0,1,95.54937413
2,1,8,1,1,1,93.88038943
2,1,8,1,0,1,94.01947149
2,1,8,2,1,1,94.01947149
2,1,8,2,0,1,94.71488178
2,1,8,4,1,1,96.10570236
2,1,8,4,0,1,96.38386648
2,1,16,1,1,1,94.29763561
2,1,16,1,0,1,94.15855355
2,1,16,2,1,1,96.38386648
2,1,16,2,0,1,94.71488178
2,1,16,4,1,1,96.6620306
2,1,16,4,0,1,97.21835883
2,1,32,1,1,1,94.85396384
2,1,32,1,0,1,94.01947149
2,1,32,2,1,1,96.80111266
2,1,32,2,0,1,95.96662031
2,1,32,4,1,1,98.47009736
2,1,32,4,0,1,97.91376912
2,1,64,1,1,1,94.85396384
2,1,64,1,0,1,94.15855355
2,1,64,2,1,1,98.19193324
2,1,64,2,0,1,97.21835883
2,1,64,4,1,1,99.16550765
2,1,64,4,0,1,98.3310153
2,1,128,1,1,1,94.85396384
2,1,128,1,0,1,94.01947149
2,1,128,2,1,1,98.60917942
2,1,128,2,0,1,98.05285118
2,1,128,4,1,1,99.16550765
2,1,128,4,0,1,98.74826147
2,2,2,1,1,1,94.01947149
2,2,2,1,0,1,93.88038943
2,2,2,2,1,1,94.9930459
2,2,2,2,0,1,94.01947149
2,2,2,4,1,1,95.68845619
2,2,2,4,0,1,94.01947149
2,2,4,1,1,1,94.15855355
2,2,4,1,0,1,93.18497914
2,2,4,2,1,1,94.57579972
2,2,4,2,0,1,94.71488178
2,2,4,4,1,1,96.80111266
2,2,4,4,0,1,95.68845619
2,2,8,1,1,1,94.15855355
2,2,8,1,0,1,94.15855355
2,2,8,2,1,1,94.9930459
2,2,8,2,0,1,95.13212796
2,2,8,4,1,1,97.77468707
2,2,8,4,0,1,96.6620306
2,2,16,1,1,1,95.13212796
2,2,16,1,0,1,94.01947149
2,2,16,2,1,1,97.07927677
2,2,16,2,0,1,97.07927677
2,2,16,4,1,1,98.88734353
2,2,16,4,0,1,98.19193324
2,2,32,1,1,1,95.41029207
2,2,32,1,0,1,94.43671766
2,2,32,2,1,1,98.88734353
2,2,32,2,0,1,98.05285118
2,2,32,4,1,1,99.44367177
2,2,32,4,0,1,98.60917942
2,2,64,1,1,1,96.24478442
2,2,64,1,0,1,94.15855355
2,2,64,2,1,1,99.30458971
2,2,64,2,0,1,97.91376912
2,2,64,4,1,1,99.30458971
2,2,64,4,0,1,99.30458971
2,2,128,1,1,1,96.24478442
2,2,128,1,0,1,94.15855355
2,2,128,2,1,1,99.02642559
2,2,128,2,0,1,98.88734353
2,2,128,4,1,1,99.44367177
2,2,128,4,0,1,99.16550765
2,3,2,1,1,1,93.74130737
2,3,2,1,0,1,89.2906815
2,3,2,2,1,1,94.01947149
2,3,2,2,0,1,89.2906815
2,3,2,4,1,1,89.2906815
2,3,2,4,0,1,94.57579972
2,3,4,1,1,1,94.57579972
2,3,4,1,0,1,89.2906815
2,3,4,2,1,1,94.71488178
2,3,4,2,0,1,89.2906815
2,3,4,4,1,1,95.68845619
2,3,4,4,0,1,95.54937413
2,3,8,1,1,1,94.15855355
2,3,8,1,0,1,93.88038943
2,3,8,2,1,1,96.80111266
2,3,8,2,0,1,95.82753825
2,3,8,4,1,1,97.35744089
2,3,8,4,0,1,95.27121001
2,3,16,1,1,1,95.13212796
2,3,16,1,0,1,94.29763561
2,3,16,2,1,1,98.3310153
2,3,16,2,0,1,96.52294854
2,3,16,4,1,1,97.91376912
2,3,16,4,0,1,97.77468707
2,3,32,1,1,1,93.74130737
2,3,32,1,0,1,93.88038943
2,3,32,2,1,1,98.05285118
2,3,32,2,0,1,95.96662031
2,3,32,4,1,1,98.60917942
2,3,32,4,0,1,96.6620306
2,3,64,1,1,1,93.60222531
2,3,64,1,0,1,91.51599444
2,3,64,2,1,1,92.90681502
2,3,64,2,0,1,90.40333797
2,3,64,4,1,1,98.60917942
2,3,64,4,0,1,95.41029207
2,3,128,1,1,1,78.44228095
2,3,128,1,0,1,87.06536857
2,3,128,2,1,1,89.2906815
2,3,128,2,0,1,84.00556328
2,3,128,4,1,1,98.47009736
2,3,128,4,0,1,85.9527121
3,1,2,1,1,1,94.04255319
3,1,2,1,0,1,94.32624113
3,1,2,2,1,1,91.63120567
3,1,2,2,0,1,95.60283688
3,1,2,4,1,1,95.60283688
3,1,2,4,0,1,95.46099291
3,1,4,1,1,1,94.60992908
3,1,4,1,0,1,94.32624113
3,1,4,2,1,1,95.46099291
3,1,4,2,0,1,95.31914894
3,1,4,4,1,1,95.74468085
3,1,4,4,0,1,95.88652482
3,1,8,1,1,1,94.75177305
3,1,8,1,0,1,94.46808511
3,1,8,2,1,1,95.74468085
3,1,8,2,0,1,95.46099291
3,1,8,4,1,1,97.58865248
3,1,8,4,0,1,97.0212766
3,1,16,1,1,1,95.74468085
3,1,16,1,0,1,94.32624113
3,1,16,2,1,1,96.31205674
3,1,16,2,0,1,95.60283688
3,1,16,4,1,1,99.0070922
3,1,16,4,0,1,96.73758865
3,1,32,1,1,1,95.74468085
3,1,32,1,0,1,94.32624113
3,1,32,2,1,1,96.87943262
