dataset,model,num_layers,hidden_size,stop_epoch,train_loss,val_loss,test_loss,time
detailed,lstm,1,2,60,0.3513044577048684,0.2833745666746237,3.98191006310905,3552.110229253769
detailed,lstm,1,4,2,0.3524844977073795,0.2832614632789975,3.9776343750682743,1711.2057631015778
detailed,lstm,1,8,8,0.35249653561473915,0.2834105335553962,3.993874665335611,1852.8376817703247
detailed,lstm,1,16,106,0.3508941048649484,0.2833653126472301,4.0118867000000495,4976.422616004944
detailed,lstm,2,2,1,0.3525721747670069,0.28333653753626986,3.9879703310769843,1476.2354354858398
