dataset,num_layers,layer_size,test_fold,stop_epoch,train_loss,val_loss,test_loss,time
H3K36me3_TDH_ENCODE,1,2,1,4167,0.8279805779457092,3.747971773147583,5.645815849304199,9.48246717453003
H3K36me3_TDH_ENCODE,1,2,2,11626,3.425830841064453,0.8314738869667053,2.4506020545959473,22.42211389541626
H3K36me3_TDH_ENCODE,1,4,1,3963,0.8146818280220032,3.793067455291748,5.662492752075195,7.854570627212524
H3K36me3_TDH_ENCODE,1,4,2,296,6.723089694976807,7.555781841278076,12.345332145690918,0.7664368152618408
H3K36me3_TDH_ENCODE,1,8,1,4037,0.8208882212638855,3.6501944065093994,5.411449432373047,7.901262283325195
H3K36me3_TDH_ENCODE,1,8,2,206,7.208591461181641,9.250694274902344,14.369247436523438,0.5897576808929443
H3K36me3_TDH_ENCODE,1,16,1,3418,0.8176227807998657,3.6782658100128174,5.530646800994873,6.722310543060303
H3K36me3_TDH_ENCODE,1,16,2,115,6.383824348449707,8.464734077453613,13.166804313659668,0.41595935821533203
H3K36me3_TDH_ENCODE,1,32,1,1586,0.8330404162406921,3.6627182960510254,4.531617641448975,3.1971757411956787
H3K36me3_TDH_ENCODE,1,32,2,92,6.353626251220703,9.30976676940918,13.596734046936035,0.37358546257019043
H3K36me3_TDH_ENCODE,1,64,1,1734,0.8205249309539795,3.760885715484619,5.42930269241333,3.5339529514312744
H3K36me3_TDH_ENCODE,1,64,2,531,1.5759721994400024,2.8836190700531006,7.067751884460449,1.2162070274353027
H3K36me3_TDH_ENCODE,1,128,1,745,0.8296231031417847,4.227707862854004,4.360508441925049,1.635777235031128
H3K36me3_TDH_ENCODE,1,128,2,559,1.2093535661697388,2.5410635471343994,7.672565460205078,1.2707726955413818
H3K36me3_TDH_ENCODE,1,256,1,486,0.8261844515800476,4.371809482574463,4.365307331085205,1.1451151371002197
H3K36me3_TDH_ENCODE,1,256,2,361,1.2712160348892212,2.823648691177368,6.801718711853027,0.8978264331817627
H3K36me3_TDH_ENCODE,1,512,1,322,0.8130607008934021,4.009903907775879,3.952526330947876,0.842479944229126
