dataset,num_layers,layer_size,test_fold,stop_epoch,train_loss,val_loss,test_loss,time
H3K4me3_PGP_immune,1,4096,2,413,1.5403603315353394,1.8986761569976807,2.3174118995666504,1.1525356769561768
H3K4me3_PGP_immune,2,2,1,15353,2.6776957511901855,2.4870078563690186,2.559579849243164,34.762213706970215
H3K4me3_PGP_immune,2,2,2,11951,2.513139247894287,2.6982574462890625,2.6373517513275146,26.958759546279907
H3K4me3_PGP_immune,2,4,1,7994,2.6776957511901855,2.486970901489258,2.6054787635803223,17.96269655227661
H3K4me3_PGP_immune,2,4,2,5666,1.8999450206756592,2.2192721366882324,2.348635196685791,12.88174843788147
H3K4me3_PGP_immune,2,8,1,2115,2.2805068492889404,1.8812036514282227,4.2861127853393555,4.974146604537964
H3K4me3_PGP_immune,2,8,2,3647,2.041606903076172,2.378169298171997,2.481046676635742,8.355307817459106
H3K4me3_PGP_immune,2,16,1,1732,2.3779404163360596,2.151010274887085,2.663670301437378,4.113250494003296
H3K4me3_PGP_immune,2,16,2,2112,1.730629563331604,2.0145668983459473,2.343029737472534,4.980194330215454
H3K4me3_PGP_immune,2,32,1,1595,2.333223581314087,2.0872700214385986,3.2389063835144043,3.8154420852661133
H3K4me3_PGP_immune,2,32,2,3188,1.6068048477172852,2.0861546993255615,2.469149351119995,7.2531914710998535
H3K4me3_PGP_immune,2,64,1,537,2.1386654376983643,1.8948974609375,2.6155643463134766,1.426832675933838
H3K4me3_PGP_immune,2,64,2,836,1.6023286581039429,1.9269812107086182,2.339087724685669,2.107973575592041
H3K4me3_PGP_immune,2,128,1,256,2.0502419471740723,1.9607067108154297,2.4146461486816406,0.814159631729126
H3K4me3_PGP_immune,2,128,2,544,1.5741041898727417,1.982358455657959,2.3108084201812744,1.4697506427764893
H3K4me3_PGP_immune,2,256,1,470,2.0008206367492676,1.9152417182922363,3.1331098079681396,1.4263958930969238
H3K4me3_PGP_immune,2,256,2,558,1.5541436672210693,1.9063527584075928,2.3268144130706787,1.661851406097412
H3K4me3_PGP_immune,2,512,1,190,2.0090339183807373,1.9450799226760864,3.6082637310028076,0.7498583793640137
H3K4me3_PGP_immune,2,512,2,374,1.5550014972686768,1.9283338785171509,2.284592390060425,1.2140614986419678
H3K4me3_PGP_immune,2,1024,1,137,1.9898784160614014,1.9471988677978516,7.368960857391357,0.633655309677124
H3K4me3_PGP_immune,2,1024,2,287,1.4541863203048706,1.9521273374557495,2.4306235313415527,1.034447431564331
H3K4me3_PGP_immune,2,2048,1,92,1.9900588989257812,1.8622217178344727,7.306135654449463,0.5973360538482666
H3K4me3_PGP_immune,2,2048,2,114,1.5397003889083862,1.9768797159194946,2.391380548477173,0.6466033458709717
H3K4me3_PGP_immune,2,4096,1,68,1.8746261596679688,1.8729665279388428,10.79385757446289,0.9264607429504395
H3K4me3_PGP_immune,2,4096,2,49,1.5701061487197876,1.9416087865829468,2.3809282779693604,0.8367266654968262
H3K4me3_PGP_immune,3,2,1,5677,2.6776957511901855,2.486970901489258,2.5598435401916504,14.190442085266113
H3K4me3_PGP_immune,3,2,2,5371,1.8117629289627075,2.0919711589813232,2.272456645965576,13.78162932395935
H3K4me3_PGP_immune,3,4,1,14814,2.6776957511901855,2.4870078563690186,2.559588670730591,37.646312952041626
H3K4me3_PGP_immune,3,4,2,2598,1.8733323812484741,2.133971691131592,2.2793047428131104,6.673906564712524
H3K4me3_PGP_immune,3,8,1,3795,2.2972283363342285,1.9037209749221802,7.461612224578857,9.84865665435791
H3K4me3_PGP_immune,3,8,2,2333,1.8950786590576172,2.2332146167755127,2.3499672412872314,6.193670749664307
H3K4me3_PGP_immune,3,16,1,889,2.092766761779785,2.0037126541137695,3.873026132583618,2.49194598197937
H3K4me3_PGP_immune,3,16,2,1903,1.8773647546768188,2.1568915843963623,2.302717924118042,4.987637758255005
H3K4me3_PGP_immune,3,32,1,512,2.3440005779266357,2.0434083938598633,2.460150718688965,1.5636916160583496
H3K4me3_PGP_immune,3,32,2,2125,1.6179485321044922,2.096172571182251,2.4494986534118652,5.60435676574707
H3K4me3_PGP_immune,3,64,1,442,2.07187557220459,1.8708399534225464,3.7585701942443848,1.3668596744537354
H3K4me3_PGP_immune,3,64,2,546,1.7507121562957764,2.0213358402252197,2.3023366928100586,1.6553142070770264
H3K4me3_PGP_immune,3,128,1,298,2.0510733127593994,1.9030543565750122,2.865888833999634,1.0459980964660645
H3K4me3_PGP_immune,3,128,2,698,1.5285093784332275,1.9163557291030884,2.3342020511627197,2.0578219890594482
H3K4me3_PGP_immune,3,256,1,299,2.01643967628479,1.9508917331695557,3.0283713340759277,1.1513350009918213
H3K4me3_PGP_immune,3,256,2,492,1.529384970664978,1.934843897819519,2.335918664932251,1.7020516395568848
H3K4me3_PGP_immune,3,512,1,152,2.0290980339050293,1.904834270477295,4.6975531578063965,0.7524645328521729
H3K4me3_PGP_immune,3,512,2,371,1.494322419166565,1.8901194334030151,2.4206042289733887,1.4177289009094238
H3K4me3_PGP_immune,3,1024,1,90,1.9536938667297363,1.9451814889907837,6.712538242340088,0.5853984355926514
H3K4me3_PGP_immune,3,1024,2,159,1.5409605503082275,1.9846421480178833,2.3329403400421143,0.780592679977417
H3K4me3_PGP_immune,3,2048,1,100,1.8873302936553955,1.9011627435684204,6.73545503616333,0.808539867401123
H3K4me3_PGP_immune,3,2048,2,109,1.5732253789901733,1.9614839553833008,2.3196804523468018,0.823561429977417
