dataset,num_layers,layer_size,stop_epoch,train_loss,val_loss,test_loss,time
systematic,1,2,1025,0.07027310878038406,0.08270961046218872,0.071966253221035,10.084615468978882
systematic,1,2,1025,0.07027310878038406,0.08270961046218872,0.071966253221035,4.41061806678772
systematic,1,4,4351,0.04758742079138756,0.10493462532758713,0.5494979619979858,12.709595203399658
systematic,1,8,508,0.06168872117996216,0.08591880649328232,0.05115918070077896,1.8513100147247314
systematic,1,16,218,0.06691651791334152,0.08547161519527435,0.09781692177057266,0.9745588302612305
systematic,1,32,355,0.05828084796667099,0.08341208845376968,0.0461713932454586,1.4273347854614258
systematic,1,64,228,0.060372430831193924,0.08208820223808289,0.04662160575389862,1.0484492778778076
systematic,1,1024,34,0.05376173183321953,0.08100054413080215,0.04920758679509163,0.4458491802215576
systematic,1,2048,23,0.047708652913570404,0.07872281223535538,0.07994246482849121,0.4020242691040039
systematic,1,4096,21,0.04582761973142624,0.07913391292095184,0.08557567000389099,0.41065502166748047
systematic,2,2,1406,0.07074092328548431,0.08201508224010468,0.09646367281675339,4.8454437255859375
systematic,2,4,618,0.06142015382647514,0.08376485109329224,0.06628575176000595,2.302600622177124
systematic,2,8,425,0.059260398149490356,0.08018311858177185,0.06526349484920502,1.6644048690795898
systematic,2,16,191,0.061515673995018005,0.08402509242296219,0.0708414688706398,0.9584224224090576
systematic,2,32,176,0.05863030627369881,0.0801829844713211,0.07331200689077377,0.92909836769104
systematic,2,64,57,0.0512378104031086,0.08084571361541748,0.042658645659685135,0.5579061508178711
systematic,2,1024,13,0.030273962765932083,0.07906705886125565,0.26840049028396606,0.4795198440551758
systematic,2,2048,31,0.02310415543615818,0.07984352856874466,0.5970301628112793,1.1436076164245605
systematic,2,4096,32,0.018568411469459534,0.08105187118053436,0.6842549443244934,3.499788761138916
systematic,3,2,1148,0.2028222233057022,0.19063754379749298,2.498506546020508,4.351403474807739
systematic,3,4,1329,0.2028222233057022,0.19063757359981537,2.498507499694824,4.829512119293213
systematic,3,8,501,0.05747045576572418,0.07997766137123108,0.0531061626970768,2.1433017253875732
systematic,3,16,172,0.0576009675860405,0.07903439551591873,0.06088657304644585,0.9647643566131592
systematic,3,32,119,0.052522700279951096,0.07846233993768692,0.04741492494940758,0.7971303462982178
systematic,3,64,62,0.049997732043266296,0.07863977551460266,0.04723408445715904,0.6205158233642578
systematic,3,1024,14,0.022244926542043686,0.07949769496917725,0.9223633408546448,0.6571531295776367
systematic,3,2048,17,0.017080670222640038,0.07949665188789368,0.6468674540519714,1.7693686485290527
systematic,3,4096,22,0.018206249922513962,0.07782083749771118,1.1200424432754517,6.119678735733032
systematic,4,2,3607,0.2028222233057022,0.19063758850097656,2.498512029647827,13.535024881362915
systematic,4,4,1486,0.2028222233057022,0.19063757359981537,2.4985079765319824,5.948486566543579
systematic,4,8,403,0.05878152325749397,0.07687859982252121,0.060948170721530914,1.916788101196289
systematic,4,16,221,0.05491524189710617,0.07611744105815887,0.05454685539007187,1.223517656326294
systematic,4,32,115,0.05274851992726326,0.0783400610089302,0.0463576465845108,0.847160816192627
systematic,4,64,58,0.04846029356122017,0.07748765498399734,0.04461822286248207,0.6541755199432373
systematic,4,1024,27,0.015833279117941856,0.07882821559906006,0.9211417436599731,0.9484837055206299
systematic,4,2048,19,0.035955239087343216,0.07933883368968964,0.3069574534893036,2.5474915504455566
systematic,4,4096,25,0.0507817380130291,0.08087547868490219,0.392185240983963,9.202285528182983
