dataset,num_layers,layer_size,test_fold,test_ratio,stop_epoch,train_loss,val_loss,test_loss,time
cancer,2,1,2,0.4,5398,2.11643648147583,1.833612322807312,2.646189451217652,11.690476179122925
cancer,2,1,2,0.5,5114,2.136146306991577,1.8907859325408936,2.5248279571533203,11.044044733047484
cancer,1,2,1,0.5,2380,0.8257885575294495,1.20232355594635,1.26751446723938,5.540022134780884
cancer,2,2,1,0.1,634,2.2495899200439453,2.630765914916992,2.2967681884765625,2.838566303253174
cancer,2,2,1,0.2,222,2.2296390533447266,2.514106035232544,2.2569997310638428,1.979191541671753
cancer,2,2,1,0.3,231,2.1942455768585205,2.5024337768554688,2.2533364295959477,1.9858925342559812
cancer,2,2,1,0.4,83,2.2097764015197754,2.3939731121063232,2.2727034091949463,1.6711809635162354
cancer,2,2,1,0.5,438,2.1534640789031982,2.4197423458099365,2.2556228637695312,5.746273279190064
cancer,2,2,2,0.1,1067,1.9882614612579343,2.129026174545288,2.664781332015991,7.212190866470337
cancer,2,2,2,0.2,557,2.0429527759552,1.8416751623153689,2.660860538482666,6.085994958877564
cancer,2,2,2,0.3,505,2.0518455505371094,1.8867151737213133,2.6601598262786865,5.920910120010376
cancer,2,2,2,0.4,1122,2.116436719894409,1.833612322807312,2.646190643310547,3.781967639923096
cancer,2,2,2,0.5,1076,2.136146068572998,1.8907854557037356,2.524829626083374,3.6863980293273926
cancer,1,2,2,0.1,1103,1.9882616996765137,2.129026174545288,2.664781332015991,3.414912462234497
cancer,2,4,1,0.1,282,0.8970670104026794,1.6176366806030271,1.2999823093414309,2.0800204277038574
cancer,2,4,1,0.2,280,0.8944462537765503,1.3117713928222656,1.3193626403808594,2.0790882110595703
cancer,2,4,1,0.3,342,0.8641923666000366,1.3046352863311768,1.362690567970276,2.1828773021698
cancer,2,4,1,0.4,321,0.867927610874176,1.301744818687439,1.3139489889144895,2.1571617126464844
cancer,2,4,1,0.5,378,0.7881372570991516,1.225409746170044,1.315365195274353,2.239835023880005
cancer,2,4,2,0.1,359,0.9040537476539612,0.988769233226776,1.501175880432129,2.2149014472961426
cancer,2,4,2,0.2,360,0.9284105896949768,0.863421618938446,1.5474427938461304,2.2048983573913574
cancer,2,4,2,0.3,370,0.9087542295455932,1.02162766456604,1.6184005737304688,2.2498512268066406
cancer,2,4,2,0.4,399,0.8703342080116272,1.123401165008545,1.3155858516693115,2.422952175140381
cancer,2,4,2,0.5,508,0.8180727362632751,1.0662788152694702,1.4786067008972168,2.6741943359375
cancer,1,2,2,0.2,389,2.0431079864501958,1.8416751623153689,2.651888608932495,2.17493748664856
cancer,2,8,1,0.1,95,1.1679813861846924,1.7050392627716064,1.299590826034546,1.7443110942840576
cancer,2,8,1,0.2,459,0.7991551160812378,1.3466758728027344,1.3406519889831543,2.5889430046081543
cancer,2,8,1,0.3,551,0.8064177632331848,1.345710039138794,1.3996431827545166,2.7798619270324707
cancer,2,8,1,0.4,401,0.8306268453598022,1.3266806602478027,1.3611245155334473,2.476756811141968
cancer,2,8,1,0.5,292,0.7861520051956177,1.223783016204834,1.3070517778396606,2.2101144790649414
cancer,2,8,2,0.1,627,0.8208357691764832,0.9715068340301514,1.6399232149124146,2.9536995887756348
cancer,2,8,2,0.2,190,1.105770230293274,0.9535434246063232,1.5356074571609497,2.010586261749268
cancer,2,8,2,0.3,469,0.7614001631736755,1.0022759437561035,1.5643656253814695,2.6526196002960205
cancer,2,8,2,0.4,225,1.0363303422927856,1.1565871238708496,1.3911032676696775,4.895165920257568
cancer,2,8,2,0.5,379,1.0025198459625244,1.1235207319259644,1.4290257692337036,5.252624273300171
cancer,1,2,2,0.3,324,2.052391290664673,1.886715054512024,2.64357590675354,2.0637319087982178
cancer,2,16,1,0.1,208,0.7847997546195984,1.5790051221847534,1.3056296110153198,4.867899179458618
cancer,2,16,1,0.2,148,0.8394656181335449,1.2954553365707395,1.3225767612457275,4.672176122665405
cancer,2,16,1,0.3,290,0.7431172132492065,1.2899595499038696,1.383806824684143,2.1506314277648926
cancer,2,16,1,0.4,134,0.819546639919281,1.2160773277282717,1.2865169048309326,1.793701410293579
cancer,2,16,1,0.5,184,0.6990554928779602,1.2011100053787231,1.3308322429656982,1.8920280933380127
cancer,2,16,2,0.1,207,0.8483668565750122,0.9429909586906432,1.6105870008468628,1.9817473888397217
cancer,2,16,2,0.2,257,0.8288863897323608,0.8579069375991821,1.5594338178634644,2.0709116458892822
cancer,2,16,2,0.3,231,0.8102648258209229,0.9673946499824524,1.5634115934371948,2.015255689620972
cancer,2,16,2,0.4,271,0.7678910493850708,1.0300339460372925,1.4575616121292114,2.1025760173797607
cancer,2,16,2,0.5,257,0.7728998064994812,1.0133979320526123,1.4280076026916504,2.0361247062683105
cancer,1,2,2,0.4,2443,0.911579966545105,1.072705864906311,1.38525390625,5.523886203765869
cancer,2,32,1,0.1,143,0.8037306070327759,1.574286699295044,1.317020058631897,1.8624708652496336
cancer,2,32,1,0.2,129,0.8598747253417969,1.2580646276474,1.3178428411483765,1.82193922996521
cancer,2,32,1,0.3,117,0.843999981880188,1.2639449834823608,1.3365113735198977,1.8651278018951416
cancer,2,32,1,0.4,102,0.8636053204536438,1.203917145729065,1.3029636144638062,1.8048415184021
